selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,Combined signal,Bud signal,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time
0,Position_2,1,S,3.0,52,465021.00000000006,4456.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,465021.00000000006,12.0,12.0,469477.00000000006,4456.000000000001,-14.0,32.0,36.0,2+ ($n_2$=89),89
0,Position_2,1,S,3.0,53,493646.0,5319.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,493646.0,13.0,13.0,498965.0,5319.0,-14.0,32.0,39.0,2+ ($n_2$=89),89
0,Position_2,1,S,3.0,54,516155.0,5277.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,516155.0,14.0,14.0,521432.0,5277.0,-14.0,32.0,42.0,2+ ($n_2$=89),89
0,Position_2,1,S,3.0,55,510383.0,7823.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,510383.0,15.0,15.0,518206.0,7823.0,-14.0,32.0,45.0,2+ ($n_2$=89),88
0,Position_2,1,S,3.0,56,466907.00000000006,9941.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,466907.00000000006,16.0,16.0,476848.00000000006,9941.0,-14.0,32.0,48.0,2+ ($n_2$=89),87
0,Position_2,1,S,3.0,57,479402.0,10299.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,479402.0,17.0,17.0,489701.0,10299.0,-14.0,32.0,51.0,2+ ($n_2$=89),87
0,Position_2,1,S,3.0,58,539411.0,9540.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,539411.0,18.0,18.0,548951.0,9540.0,-14.0,32.0,54.0,2+ ($n_2$=89),86
0,Position_2,1,S,3.0,59,505469.00000000006,17962.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,505469.00000000006,19.0,19.0,523431.00000000006,17962.0,-14.0,32.0,57.0,2+ ($n_2$=89),86
0,Position_2,1,S,3.0,60,541465.0,13898.000000000002,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,541465.0,20.0,20.0,555363.0,13898.000000000002,-14.0,32.0,60.0,2+ ($n_2$=89),85
0,Position_2,1,S,3.0,61,526567.0,12715.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,526567.0,21.0,21.0,539282.0,12715.0,-14.0,32.0,63.0,2+ ($n_2$=89),84
0,Position_2,1,S,3.0,62,566901.0,10402.999999999998,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,566901.0,22.0,22.0,577304.0,10402.999999999998,-14.0,32.0,66.0,2+ ($n_2$=89),83
0,Position_2,1,S,3.0,63,572287.0,13387.000000000002,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,572287.0,23.0,23.0,585674.0,13387.000000000002,-14.0,32.0,69.0,2+ ($n_2$=89),80
0,Position_2,1,S,3.0,64,568165.0,13759.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,568165.0,24.0,24.0,581924.0,13759.0,-14.0,32.0,72.0,2+ ($n_2$=89),72
0,Position_2,1,S,3.0,65,432389.0,135101.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,432389.0,25.0,25.0,567490.0,135101.0,-14.0,32.0,75.0,2+ ($n_2$=89),67
0,Position_2,1,S,3.0,66,332476.00000000006,203986.0,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,332476.00000000006,26.0,26.0,536462.0,203986.0,-14.0,32.0,78.0,2+ ($n_2$=89),60
0,Position_2,1,S,3.0,67,326130.0,241792.00000000003,MIA_KC_htb1_mCitrine_labeled,mother,3.0,31.0,41.0,326130.0,27.0,27.0,567922.0,241792.00000000003,-14.0,32.0,81.0,2+ ($n_2$=89),49
