Position_n,Cell_ID,cell_vol_fl,nucleus_vol_fl
Position_1,1,153.2037521110826,56.76485103324922
Position_1,2,283.50298741110913,115.88723204246334
Position_1,3,189.03534905037588,52.872605760722365
Position_1,4,98.82385745672096,68.24234685976384
Position_1,5,155.7400307153232,61.637232256531554
Position_1,6,124.2262754305084,43.626080898249306
Position_1,7,115.27261359408448,94.0638577741028
Position_1,8,139.17501287151094,51.9520253367352
Position_1,9,158.0309168697007,49.32805442033726
Position_2,1,152.81797031011826,94.67965856643949
Position_2,2,126.55393009911408,68.65644483570142
Position_2,3,114.737109145606,53.72232603553414
Position_2,4,131.36887808027117,41.71247291226982
Position_2,5,125.92160538308104,39.99844912082882
Position_2,6,115.51783893678336,34.770460224302845
Position_2,7,110.3267000233356,63.21374389329039
Position_2,8,357.7971643203937,97.17781216689148
Position_2,9,301.1760749847578,119.880179659746
Position_2,11,140.09818203181257,56.18522315726882
Position_2,12,321.3556792625555,139.55439959998523
Position_3,1,190.7600940354866,73.36057912696782
Position_3,2,215.85291728278875,74.5351171685346
Position_3,3,108.11697401037613,45.742177667082345
Position_3,4,530.1663410732017,185.9561463678964
Position_3,5,124.86317814193173,46.93813805544736
Position_3,6,162.27680729848174,42.338265563144
Position_3,7,134.1657443070598,48.49320966055257
Position_3,8,136.0860071621157,33.43889392828995
Position_3,9,121.0996110475248,43.48877285284678
Position_3,10,133.3852362463608,43.77530961422814
Position_3,11,98.0957578619638,77.76714961820542
Position_4,1,159.72345874637114,62.22896094077568
Position_4,2,147.88055907797462,62.52288204095189
Position_4,3,141.01363298610408,61.92892824072084
Position_4,4,125.88143033172032,85.74775926177782
Position_4,5,93.58758378263816,47.50519100012641
Position_4,6,119.53190289533474,55.26032085660623
Position_4,7,233.15439568549684,103.4573463473329
Position_4,10,510.91105197575007,283.13528590232124
Position_4,12,181.77951513528976,96.3834047228692
Position_5,1,169.13771500969415,71.22371327492684
Position_5,2,164.22576839225965,65.06559271793068
Position_5,3,212.1585668032598,89.59591212994816
Position_6,1,187.0381186970872,77.15293907710016
Position_6,2,132.7248368612531,51.48891698429113
Position_6,3,169.9522756689793,75.66091414823546
Position_6,5,123.73985471273367,32.921140294795784
Position_6,6,145.65313688690108,46.81823141616061
Position_6,7,124.93771558046387,41.50590863868486
Position_6,9,625.2931187046287,276.6982378105949
Position_7,1,127.22651136991948,58.23329651975273
Position_7,2,143.19043775011505,44.9890792060327
Position_7,3,142.671557219337,55.21735554838692
Position_7,4,162.20466735944896,69.14648667039145
Position_7,5,95.1939593018256,28.30045396138438
Position_7,6,111.59415910544176,47.87883928021864
Position_7,7,88.21346190955128,34.645948868092205
Position_7,8,95.18783831424564,37.15854046107207
Position_7,10,125.01017284555336,48.61800402763576
Position_7,11,101.19397911002147,41.67297070878895
Position_7,12,468.1940526047065,170.57483791053005
Position_7,13,107.1415820850533,50.65211708091624
Position_8,1,157.4900156395082,59.0701797093822
Position_8,2,150.62928326879137,56.59008963450825
Position_8,3,105.53388225356538,47.32186908174564
Position_8,4,74.4818726872351,23.03001715423891
Position_8,5,134.25189640637927,48.41531966544303
Position_8,6,224.0663515652564,86.7335749054612
Position_8,7,100.7976204143395,41.68437711397984
Position_8,8,113.57682228195064,44.79773693393272
Position_8,9,144.7505074371309,55.931299704036974
Position_8,10,106.10144745660726,34.075022630471395
Position_8,11,118.06624076852728,44.03408138820252
Position_8,12,73.15328422445835,39.08382736903365
Position_8,13,134.92494812433583,41.25571382881122
Position_8,14,322.3709897403971,306.9000508590932
Position_8,15,110.23085316715022,39.26163225702875
Position_9,1,205.56804240558708,116.93781406350251
Position_9,2,122.31895204416728,43.80902413854586
Position_9,3,125.12233225879444,51.83336220815792
Position_9,4,169.8871829436179,60.088234561648896
Position_9,5,152.3288366714629,55.585103997216834
Position_9,6,101.28031140561367,46.13862831555707
Position_9,8,111.83860345996868,39.84076539176184
Position_9,9,223.76767381946223,165.77147887925395
Position_9,10,299.6846033278847,66.13796144782918
Position_10,1,174.15775654141345,73.4542718940481
Position_10,2,157.49715529013062,43.95898694817832
Position_10,3,140.35820489977377,50.17654831290976
Position_10,4,56.4683193100118,44.4307353824892
Position_10,5,90.15949266695677,43.947707249842935
Position_10,7,122.84973456827106,64.07477975722006
Position_11,1,124.06104942372112,64.75904701830522
Position_11,2,93.39604578324868,43.3396689036498
Position_11,3,151.85678458268583,51.33581841678285
Position_11,4,124.9483576083251,45.768567972738126
Position_11,6,113.72109751765947,37.117614599190695
Position_11,7,375.6581096140322,99.6181630102464
Position_11,8,265.2080759329078,64.69242975852362
Position_12,1,150.03641668878703,54.30071383688688
Position_12,2,109.49256281000793,51.53743181048749
Position_12,3,121.54949061320625,51.07810135100068
Position_12,4,125.5381390141392,50.79702150469375
Position_12,5,116.13130992067438,50.52248474959645
Position_12,6,118.84880153729596,31.41752121750319
Position_12,7,160.23440865042855,69.67283839755038
Position_12,9,151.9826433141402,88.62438160663321
Position_12,10,145.56284149730917,27.965215070197434
Position_12,11,117.51897356070852,38.22048620487357
Position_12,12,218.10633087544352,78.77781102381233
Position_12,14,264.44095001592206,83.22337922854939
Position_13,1,92.34092078011334,54.441609049092754
Position_13,2,103.44529302024652,41.003030885212574
Position_13,3,163.33783069975027,92.94592824771316
Position_13,4,90.91729491904128,33.12004621123121
Position_13,5,136.94352921334365,45.59738395477682
Position_13,6,208.8570104048928,55.933837733562825
Position_13,7,143.88245765810265,79.3619376945249
Position_13,8,141.24316371394622,56.61651483249442
Position_13,9,149.2796218739762,53.64903025503472
Position_13,10,178.70818293279837,97.64351146513586
Position_13,11,107.32044043441782,30.9136460061288
Position_13,12,484.9551630081408,314.1807720599927
Position_13,15,87.30422429107645,37.51093436239143
Position_14,1,174.99867988108664,109.5743188966838
Position_14,2,124.03216674777067,66.14181340980733
Position_14,3,131.5574209407194,83.07210662926538
Position_14,4,121.62699586285808,48.763272624548
Position_14,5,150.51100000724006,64.64542817640856
Position_14,6,127.95827809758258,81.6430981901297
Position_14,7,139.2133820301264,72.17652370588979
Position_14,8,136.2781424463134,56.19888200937146
Position_14,9,242.38609647569103,23.52906462710312
Position_14,10,77.2468596675798,25.96943716911456
Position_14,11,125.07634832650145,45.29084630985052
Position_14,12,100.79983822756807,52.62551308183397
Position_14,13,443.1608432155212,310.45397875249574
Position_14,14,313.817763389203,108.16470884128331
Position_14,15,152.15445249873852,36.96990240061277
Position_14,17,154.90805185507176,47.792213165734736
Position_15,1,130.00760483416522,48.10774048321326
Position_15,2,159.63155595643232,50.3947998402911
Position_15,3,159.8108453853759,58.55369160910657
Position_15,4,132.07509556830203,41.65238625460752
Position_15,5,171.53371113797306,66.9816034816823
Position_15,6,94.2222979439769,36.74074901192511
Position_15,7,101.57251052797037,52.0770557606387
Position_16,2,139.1503766475202,40.3398614137796
Position_16,5,417.07621172102034,47.6673390164428
Position_17,2,134.52755726045268,38.78441914608956
Position_17,5,395.0138874584096,46.70047712584654
Position_18,1,163.60506084666346,104.77428422122802
Position_18,2,145.37902853694814,51.08343010239349
Position_18,3,234.27150692520908,63.06822953308525
Position_18,4,196.6914381750848,76.40190779731174
Position_18,5,136.23201639611418,46.66748792054801
Position_18,6,292.4818001743613,108.92505312984308
Position_18,7,128.85931573203857,58.48647318200511
Position_18,8,146.22495895057995,58.672284444981806
Position_19,1,142.46913747311748,52.42878358354323
Position_19,2,122.94792514399444,52.1507061085488
Position_19,3,165.25223275129608,84.71752922179297
Position_19,4,249.77507500898068,52.62723215950464
Position_19,5,120.0061640409038,41.7024973092848
Position_19,6,191.96290309373444,94.73702668916906
Position_19,7,129.95177621975324,79.96846035528135
Position_19,8,137.18546483022183,55.09024610023992
Position_19,9,225.0531183219381,138.02223789401077
Position_19,10,196.1148139604604,53.57340030503666
Position_19,11,63.65811123454442,40.34046162684047
Position_19,14,376.21258454606334,43.98017128021372
Position_19,15,198.9248188187513,104.79585590214634
Position_20,1,143.2939193944215,63.05438913686165
Position_20,2,150.17733374229175,81.95122979446434
Position_20,3,127.7887101355366,48.043677610410434
Position_20,4,134.50478566242035,56.52171826783899
Position_20,5,138.75637954444716,33.774892785638514
Position_20,6,115.89989197270148,36.463172438464
Position_20,7,154.85636268073398,41.76504207794764
Position_20,8,136.36725951299584,34.70048054082753
Position_20,9,86.52972581860409,42.984559632240426
Position_20,12,141.68769651970237,47.70809999887044
Position_21,1,169.4688662132478,77.7037943140763
Position_21,2,137.1771972979591,50.41112712576222
Position_21,3,122.4327995230519,56.78694251333279
Position_21,4,105.2180115087429,45.367584346858536
Position_21,5,188.6141561270867,64.01600824157562
