frame_i,Cell_ID,file,position,x_label,mCitrine_corrected_amount,mCitrine_corrected_concentration
179,21,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),203498.0,5961.1821315313455
180,22,MIA_KC_htb1_mCitrine_labeled,Position_5,1 (n=139),213154.00000000003,3250.1336719336177
125,13,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),287607.0,11416.057255973925
133,12,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),317521.0,6262.296244966423
137,15,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),331705.0,4416.737593818882
147,14,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),290422.0,5953.578399251072
164,16,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),313229.0,4048.097726159212
166,18,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),264888.0,6325.169772841259
169,19,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),313569.0,5480.8227063133245
175,21,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),321519.0,5027.154904329594
176,23,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),247628.00000000003,8100.608322722712
183,22,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),284161.0,8791.521957547553
195,24,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),271833.0,5279.2245460270515
105,11,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),326519.0,6139.048078244709
195,27,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),282195.0,5967.547363169076
201,26,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),270866.0,6239.446656415506
207,29,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),277575.0,7790.221684191098
214,30,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),292108.0,10491.027977927999
218,31,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),261134.0,6611.978625952813
219,17,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),311696.0,2645.200089788483
220,33,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),230001.0,5266.200425508357
229,37,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),270495.0,6574.916808007897
232,32,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),287400.0,4849.551232728672
232,40,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),279509.0,9053.737252399727
234,36,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),290936.0,5877.188621424567
235,38,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),274303.0,4278.345768966201
198,28,MIA_KC_htb1_mCitrine_labeled,Position_8,1 (n=139),239190.0,5614.707935641363
229,17,MIA_KC_htb1_mCitrine_labeled,Position_3,1 (n=139),245644.0,1988.7127797434377
