Position_n,frame_i,Cell_ID,time_seconds,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,FITC_mean,phase_contr_mean,FITC_median,phase_contr_median,FITC_min,phase_contr_min,FITC_max,phase_contr_max,FITC_sum,phase_contr_sum,FITC_q25,phase_contr_q25,FITC_q75,phase_contr_q75,FITC_q05,phase_contr_q05,FITC_q95,phase_contr_q95,FITC_amount_autoBkgr,phase_contr_amount_autoBkgr,FITC_amount_dataPrepBkgr,phase_contr_amount_dataPrepBkgr
Position_3,0,19,0,0,0,228,223,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1216,30435.21518,56.00064256,300.7914792,264.1101974,2525.241776,264,2526,216,2216,310,2789,321158,3070694,255,2468,273,2589,241,2361,288,2683.25,35398,219174,0,0
Position_3,0,21,0,0,0,223,270,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1052,24126.77659,48.44792432,238.4451294,284.351711,2551.990494,284,2530,209,2226,346,2972,299138,2684694,272,2456,296,2636.25,258,2371.55,310,2784,51918,217754,0,0
Position_3,0,22,0,0,0,119,276,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1193,29377.341,54.94141988,290.3365001,275.4056999,2548.134116,275,2527,232,2203,331,3076,328559,3039924,265,2429,286,2649,250,2310.6,302,2864.4,48204,242339,0,0
Position_3,0,25,0,0,0,86,302,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1374,35594.55783,63.27704184,351.7813046,259.441048,2482.231441,259.5,2483.5,177,2192,303,2841,356472,3410586,249,2430,270,2538,234,2331.65,285,2626,33582,188556,0,0
Position_3,0,27,0,0,0,196,321,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1284,32920.37585,59.13225744,325.3523424,306.0911215,2549.376947,306,2530.5,249,2181,370,3232,393021,3273400,293,2460,318,2628.25,276,2354,337,2798,91281,262420,0,0
Position_3,0,28,0,0,0,351,338,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1116,27091.31934,51.39532656,267.7437294,291.922043,2636.395161,291,2617.5,229,2240,351,3225,325785,2942217,280,2510.75,303,2750.25,266,2381,320,2944,63525,325197,0,0
Position_3,0,29,0,0,0,320,347,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,863,17914.66415,39.74387708,177.0507716,285.9606025,2684.312862,286,2665,228,2222,344,3444,246784,2316562,275,2506.5,297,2821,258,2364.1,314,3132.8,43979,292827,0,0
Position_3,0,30,0,0,0,414,368,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1122,27158.38544,51.67164552,268.4065442,331.1648841,2640.567736,331,2615,264,2197,395,3310,371567,2962717,317,2507,345,2760.75,299,2380.1,366,2959.95,107897,331627,0,0
Position_3,0,31,0,0,0,223,369,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1620,48347.98967,74.6061192,477.8235752,347.604321,2598.814815,345,2582,264,2207,447,3230,563119,4210080,326,2490,367,2689.25,303,2365.85,401,2890.05,182419,411180,0,0
Position_3,0,33,0,0,0,104,414,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,924,20262.05489,42.55311984,200.2500533,332.7608225,2585.982684,331,2582,272,2078,406,3165,307471,2389448,315,2446,350,2712.5,295,2237.15,374,2949.1,90331,222668,0,0
Position_4,0,12,0,0,0,193,170,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1766,52435.6658,81.32988056,518.2221117,317.6223103,2565.769536,315,2552,248,2259,405,2965,560921,4531149,297,2463,337,2655,277,2371.25,365,2807,156507,359857,0,0
Position_4,0,21,0,0,0,467,402,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,857,17342.98144,39.46755812,171.4008267,233.1073512,2612.306884,232,2584,193,2206,278,3115,199773,2238747,224,2476,241,2753,212,2347.6,257,2936,3520,214513,0,0
Position_4,0,23,0,0,0,426,461,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1248,31540.90202,57.47434368,311.7189913,239.8076923,2578.191506,239,2553,201,2183,293,3152,299280,3217583,231,2471,249,2673,220,2370,260,2844.65,13488,269807,0,0
Position_5,0,12,0,0,0,117,230,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,868,16400.35414,39.97414288,162.0848334,253.4493088,2581.976959,253,2571,208,2179,297,3014,219994,2241156,244,2459.75,263,2714.25,232,2312.7,277.65,2851.3,21222,201356,0,0
Position_5,0,17,0,0,0,467,345,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1087,25265.13258,50.05978492,249.6955108,286.7571297,2569.384545,285,2554,228,2153,356,3422,311705,2792921,272,2441,302,2673,253,2306,327.7,2875,62782,238471,0,0
