selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time,Method of calculation,value
0,Position_4,4,S,2,127,277222.0,222169.0,MIA_KC_test_files,mother,16,25,108,,20,20,-8,26,60,2+ ($n_2$=79),75,Bud signal,222169.0
0,Position_4,6,G1,2,127,283473.0,271604.0,MIA_KC_test_files,mother,12,14,126,,2,-13,-14,24,-39,2+ ($n_2$=79),20,Bud signal,0.0
0,Position_4,10,S,1,127,241627.0,1293.9999999999998,MIA_KC_test_files,mother,18,31,125,,3,3,-8,32,9,1st ($n_1$=38),38,Bud signal,1293.9999999999998
0,Position_4,12,G1,1,127,271604.0,283473.0,MIA_KC_test_files,mother,6,18,126,,2,-17,-18,25,-51,1st ($n_1$=38),23,Bud signal,0.0
0,Position_4,1,G1,6,128,304382.0,230928.0,MIA_KC_test_files,mother,15,7,125,,4,-4,-7,23,-12,2+ ($n_2$=79),74,Bud signal,0.0
0,Position_4,2,S,3,128,380100.0,1700.0,MIA_KC_test_files,mother,19,25,126,,3,3,-9,26,9,2+ ($n_2$=79),79,Bud signal,1700.0
0,Position_4,3,S,6,128,360763.0,4040.0,MIA_KC_test_files,mother,17,27,122,,7,7,-5,28,21,2+ ($n_2$=79),79,Bud signal,4040.0
0,Position_4,4,S,2,128,237802.00000000003,237729.0,MIA_KC_test_files,mother,16,25,108,,21,21,-8,26,63,2+ ($n_2$=79),75,Bud signal,237729.0
0,Position_4,6,G1,2,128,281066.0,267647.0,MIA_KC_test_files,mother,12,14,126,,3,-12,-14,24,-36,2+ ($n_2$=79),23,Bud signal,0.0
0,Position_4,10,S,1,128,251457.0,1119.0,MIA_KC_test_files,mother,18,31,125,,4,4,-8,32,12,1st ($n_1$=38),38,Bud signal,1119.0
0,Position_4,12,G1,1,128,267647.0,281066.0,MIA_KC_test_files,mother,6,18,126,,3,-16,-18,25,-48,1st ($n_1$=38),23,Bud signal,0.0
0,Position_4,10,S,1,126,237176.0,1073.0,MIA_KC_test_files,mother,18,31,125,,2,2,-8,32,6,1st ($n_1$=38),38,Bud signal,1073.0
0,Position_4,6,G1,2,126,284882.0,274091.0,MIA_KC_test_files,mother,12,14,126,,1,-14,-14,24,-42,2+ ($n_2$=79),13,Bud signal,0.0
0,Position_4,4,S,2,126,330590.0,144498.0,MIA_KC_test_files,mother,16,25,108,,19,19,-8,26,57,2+ ($n_2$=79),76,Bud signal,144498.0
0,Position_4,3,S,6,126,331650.0,2212.0,MIA_KC_test_files,mother,17,27,122,,5,5,-5,28,15,2+ ($n_2$=79),79,Bud signal,2212.0
