selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time,Method of calculation,value
0,Position_3,5,S,1.0,147,431647.0,14805.0,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,431647.0,33.0,33.0,-21.0,61.0,99.0,1st ($n_1$=48),20,Combined signal,446452.0
0,Position_3,1,G1,6.0,148,266457.0,246833.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,15.0,139.0,266457.0,10.0,-6.0,-15.0,26.0,-18.0,2+ ($n_2$=89),70,Combined signal,266457.0
0,Position_3,2,S,3.0,148,271343.0,223273.0,MIA_KC_htb1_mCitrine_labeled,mother,11.0,26.0,123.0,271343.0,26.0,26.0,-2.0,27.0,78.0,2+ ($n_2$=89),60,Combined signal,494616.0
0,Position_3,4,G1,2.0,148,270179.0,,MIA_KC_htb1_mCitrine_labeled,mother,7.0,15.0,145.0,270179.0,4.0,-12.0,-15.0,34.0,-36.0,2+ ($n_2$=89),24,Combined signal,270179.0
0,Position_3,5,S,1.0,148,428900.0,15315.0,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,428900.0,34.0,34.0,-21.0,61.0,102.0,1st ($n_1$=48),16,Combined signal,444215.0
0,Position_3,1,G1,6.0,149,279250.0,250819.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,15.0,139.0,279250.0,11.0,-5.0,-15.0,26.0,-15.0,2+ ($n_2$=89),81,Combined signal,279250.0
0,Position_3,2,S,3.0,149,269440.0,237368.0,MIA_KC_htb1_mCitrine_labeled,mother,11.0,26.0,123.0,269440.0,27.0,27.0,-2.0,27.0,81.0,2+ ($n_2$=89),49,Combined signal,506808.0
0,Position_3,4,G1,2.0,149,270782.0,,MIA_KC_htb1_mCitrine_labeled,mother,7.0,15.0,145.0,270782.0,5.0,-11.0,-15.0,34.0,-33.0,2+ ($n_2$=89),27,Combined signal,270782.0
0,Position_3,5,S,1.0,149,426988.0,16091.999999999998,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,426988.0,35.0,35.0,-21.0,61.0,105.0,1st ($n_1$=48),16,Combined signal,443080.0
0,Position_3,4,G1,2.0,155,267435.0,,MIA_KC_htb1_mCitrine_labeled,mother,7.0,15.0,145.0,267435.0,11.0,-5.0,-15.0,34.0,-15.0,2+ ($n_2$=89),81,Combined signal,267435.0
0,Position_3,5,S,1.0,155,365524.0,53812.0,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,365524.0,41.0,41.0,-21.0,61.0,123.0,1st ($n_1$=48),10,Combined signal,419336.0
0,Position_3,1,S,6.0,156,337357.0,2011.0,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,337357.0,2.0,2.0,-15.0,26.0,6.0,2+ ($n_2$=89),89,Combined signal,339368.0
0,Position_3,2,S,4.0,156,284805.99999999994,753.9999999999999,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,284805.99999999994,2.0,2.0,-4.0,26.0,6.0,2+ ($n_2$=89),89,Combined signal,285559.99999999994
0,Position_3,4,S,2.0,162,288603.0,2483.0,MIA_KC_htb1_mCitrine_labeled,mother,14.0,33.0,161.0,288603.0,2.0,2.0,-15.0,34.0,6.0,2+ ($n_2$=89),89,Combined signal,291086.0
0,Position_3,8,G1,1.0,162,228001.0,415443.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,43.0,139.0,228001.0,24.0,-20.0,-43.0,46.0,-60.0,1st ($n_1$=48),22,Combined signal,228001.0
0,Position_3,1,S,6.0,163,422808.00000000006,2697.0,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,422808.00000000006,9.0,9.0,-15.0,26.0,27.0,2+ ($n_2$=89),89,Combined signal,425505.00000000006
0,Position_3,2,S,4.0,163,391146.0,5339.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,391146.0,9.0,9.0,-4.0,26.0,27.0,2+ ($n_2$=89),89,Combined signal,396485.0
0,Position_3,4,S,2.0,163,300129.0,4256.0,MIA_KC_htb1_mCitrine_labeled,mother,14.0,33.0,161.0,300129.0,3.0,3.0,-15.0,34.0,9.0,2+ ($n_2$=89),89,Combined signal,304385.0
0,Position_3,8,G1,1.0,163,231845.0,422808.00000000006,MIA_KC_htb1_mCitrine_labeled,mother,1.0,43.0,139.0,231845.0,25.0,-19.0,-43.0,46.0,-57.0,1st ($n_1$=48),25,Combined signal,231845.0
