space_size,bbox_area,exec_time
10,100,0.09849999332800508
10,144,0.09259994840249419
10,196,0.08570001227781177
10,256,0.10549998842179775
10,324,0.1238000113517046
10,400,0.18039997667074203
10,484,0.1637000241316855
10,576,0.19339995924383402
10,676,0.21810003090649843
10,784,0.24480000138282776
10,900,0.285700021777302
10,1024,0.3166000242345035
10,1156,0.4341999883763492
10,1296,0.402199977543205
10,1444,0.49920001765713096
10,1600,0.45789999421685934
10,1764,0.4952000454068184
10,1936,0.5875999922864139
10,2116,0.584700028412044
10,2304,0.6375000230036676
10,2500,0.6719999946653843
10,2704,0.7355999550782144
10,2916,0.770099984947592
10,3136,0.8319999906234443
10,3364,0.8909000316634774
10,3600,0.9428000194020569
10,3844,1.0115999612025917
10,4096,1.1682999902404845
10,4356,1.3972999877296388
10,4624,1.2418999685905874
10,4900,1.582199998665601
10,5184,1.3864999637007713
10,5476,1.4188999775797129
10,5776,1.4694000128656626
10,6084,1.7665000050328672
10,6400,1.9227999728173018
10,6724,1.7245999770238996
10,7056,1.7781000351533294
10,7396,1.8690999713726342
10,7744,1.9450999679975212
10,8100,2.38100002752617
10,8464,2.120399964042008
10,8836,2.234900020994246
10,9216,2.33510002726689
10,9604,2.5009000091813505
10,10000,2.4800000246614218
10,10404,2.5535000022500753
10,10816,2.671700029168278
10,11236,2.909499977249652
10,11664,2.8475000290200114
10,12100,2.9489000444300473
10,12544,3.061800030991435
10,12996,3.4910000395029783
10,13456,3.3853999921120703
10,13924,3.4203000250272453
10,14400,4.050899995490909
10,14884,3.6226000520400703
10,15376,3.864700032863766
10,15876,4.034699988551438
10,16384,4.021599947009236
10,16900,4.327600006945431
10,17424,4.227500001434237
10,17956,4.3326999875716865
10,18496,4.565800016280264
10,19044,4.606399976182729
10,19600,5.327199993189424
10,20164,4.972000024281442
10,20736,5.257099983282387
10,21316,5.150599987246096
10,21904,5.521300015971065
10,22500,5.493499978911132
10,23104,5.6028999970294535
10,23716,5.722599977161735
10,24336,5.89680002303794
10,24964,6.238200003281236
10,25600,6.17079995572567
10,26244,6.332000019028783
10,26896,6.5110999858006835
10,27556,8.090700022876263
10,28224,6.860099965706468
10,28900,7.116299995686859
10,29584,7.181800028774887
10,30276,7.252199982758611
10,30976,9.424400050193071
10,31684,7.758399995509535
10,32400,8.582399983424693
10,33124,8.747899963054806
10,33856,8.216100046411157
10,34596,8.275999978650361
10,35344,10.807299986481667
10,36100,12.0514000300318
10,36864,8.93099996028468
10,37636,9.086199977900833
10,38416,9.476899984292686
10,39204,9.579100005794317
10,40000,9.660399984568357
10,40804,9.878500015474856
10,41616,10.209500032942742
10,42436,10.187300038523972
10,43264,10.65259997267276
10,44100,11.917099996935576
10,44944,12.102400010917336
10,45796,13.620799989439547
10,46656,14.22339997952804
10,47524,12.287600024137646
10,48400,12.3240000102669
10,49284,12.663399975281209
10,50176,12.373100034892559
10,51076,12.78759998967871
10,51984,13.142399955540895
10,52900,13.789099990390241
10,53824,14.664099959190935
10,54756,15.30629995977506
10,55696,14.259800023864955
10,56644,14.920699992217124
10,57600,14.643599977716804
10,58564,15.077499963808805
10,59536,14.893800020217896
10,60516,15.575700032059103
10,61504,15.558800019789487
10,62500,16.010799969080836
10,63504,16.043499985244125
10,64516,16.30519999889657
10,65536,16.602299991063774
10,66564,17.843899957370013
10,67600,17.691300017759204
10,68644,18.048199999611825
10,69696,17.870300041977316
10,70756,28.268499998375773
10,71824,20.484299981035292
10,72900,18.983300018589944
10,73984,19.535299972631037
10,75076,19.65939998626709
10,76176,19.61779996054247
10,77284,21.009499963838607
10,78400,21.61519997753203
10,79524,21.58539998345077
10,80656,22.999299981165677
10,81796,21.64020005147904
10,82944,23.060200037434697
10,84100,25.45369998551905
10,85264,23.608399962540716
10,86436,24.49560002423823
10,87616,24.553499999456108
10,88804,35.76440003234893
10,90000,30.468799988739192
10,91204,27.26619999157265
10,92416,26.232499978505075
10,93636,26.115100015886128
10,94864,27.885999996215105
10,96100,27.64829999068752
10,97344,28.511200041975826
10,98596,30.40689998306334
10,99856,30.751199985388666
10,101124,31.95959998993203
10,102400,39.29939999943599
10,103684,32.9374999855645
10,104976,31.403400003910065
10,106276,31.70469996985048
10,107584,31.535099959000945
10,108900,32.46139996917918
10,110224,34.21489999163896
10,111556,34.840600041206926
10,112896,44.86150003504008
10,114244,38.22829999262467
10,115600,41.50759999174625
10,116964,42.22880001179874
10,118336,40.6139999977313
10,119716,37.50110004330054
10,121104,50.29739998281002
10,122500,40.46669998206198
10,123904,42.202599986921996
10,125316,40.488499973434955
10,126736,44.65440002968535
10,128164,49.529400013852865
10,129600,43.29830000642687
10,131044,43.63199998624623
10,132496,43.97579998476431
10,133956,60.85639999946579
10,135424,50.08850002195686
10,136900,49.67179999221116
10,138384,52.732400014065206
10,139876,47.241799999028444
10,141376,47.32730000978336
10,142884,58.92480001784861
10,144400,49.21189998276532
10,145924,50.32519996166229
10,147456,59.39469998702407
10,148996,51.691000000573695
10,150544,58.10520000522956
10,152100,54.12889999570325
10,153664,60.54099998436868
10,155236,53.886700014118105
10,156816,62.759899999946356
10,158404,54.34969998896122
10,160000,63.34120000246912
10,161604,58.88360005337745
10,163216,63.659499981440604
10,164836,57.03440000070259
10,166464,66.7381000239402
10,168100,58.580300014000386
10,169744,67.1042999601923
10,171396,62.07620003260672
10,173056,69.56859998172149
10,174724,61.42050004564226
10,176400,69.71569999586791
10,178084,63.83509997976944
10,179776,71.91040000179783
10,181476,63.88689996674657
10,183184,71.893899992574
10,184900,71.12359994789585
10,186624,74.5265000150539
10,188356,74.10490000620484
10,190096,73.72149999719113
10,191844,75.92859998112544
10,193600,75.79609996173531
10,195364,76.41129998955876
10,197136,78.42740003252402
10,198916,76.70990005135536
10,200704,76.95339998463169
10,202500,80.0677000079304
10,204304,78.82310001878068
10,206116,81.81290002539754
10,207936,79.98590002534911
10,209764,81.27640001475811
10,211600,82.99840003019199
10,213444,82.7405999880284
10,215296,84.01789999334142
10,217156,84.6527999965474
10,219024,84.32860003085807
10,220900,83.89950002310798
10,222784,89.41880002385005
10,224676,87.62830001069233
10,226576,88.31010002177209
10,228484,89.12830002373084
10,230400,90.10570001555607
10,232324,91.33139997720718
10,234256,90.68960003787652
10,236196,89.98109999811277
10,238144,91.39929997036234
10,240100,92.65399997821078
10,242064,92.52589999232441
10,244036,93.77870004391298
10,246016,95.6500000320375
10,248004,95.48530000029132
10,250000,98.4535000170581
10,252004,98.3602000051178
10,254016,98.63459999905899
10,256036,103.11060003004968
10,258064,99.54789996845648
10,260100,102.98249998595566
10,262144,101.72330000204965
10,264196,102.68249997170642
10,266256,102.52670000772923
10,268324,102.41619998123497
10,270400,108.17969997879118
10,272484,108.98079996695742
10,274576,105.38759996416047
10,276676,114.67700003413484
10,278784,106.70519998529926
10,280900,112.74929996579885
10,283024,110.41399999521673
10,285156,111.3739000284113
10,287296,114.24379999516532
10,289444,111.81349999969825
10,291600,113.40560001553968
10,293764,113.68149996269494
10,295936,115.29089999385178
10,298116,118.55429998831823
10,300304,117.12900002021343
10,302500,117.70460003754124
10,304704,118.8317000051029
10,306916,118.3661000104621
10,309136,118.36660001426935
10,311364,118.5041000135243
10,313600,120.11340004391968
10,315844,122.77560000075027
10,318096,124.83419995987788
10,320356,125.61609997646883
10,322624,127.05240002833307
10,324900,127.44000001111999
10,327184,127.92160001117736
10,329476,129.43309999536723
10,331776,128.54539998807013
10,334084,128.97840002551675
10,336400,129.60569997085258
10,338724,132.5440999935381
10,341056,132.1913999854587
10,343396,134.10369999473915
10,345744,134.37179999891669
10,348100,134.02659998973832
10,350464,134.9218999966979
10,352836,134.75670001935214
10,355216,141.14710001740605
10,357604,140.53710002917796
10,360000,140.70250000804663
20,100,0.8903000270947814
20,144,0.09029998909682035
20,196,0.13260002015158534
20,256,0.13910001143813133
20,324,0.15899998834356666
20,400,0.18729997100308537
20,484,0.22380001610144973
20,576,0.2476000227034092
20,676,0.2882999833673239
20,784,0.32519997330382466
20,900,0.36449998151510954
20,1024,0.5816000048071146
20,1156,0.535300001502037
20,1296,0.8218999719247222
20,1444,0.5471999756991863
20,1600,0.6090999813750386
20,1764,0.6457999697886407
20,1936,0.7223000284284353
20,2116,1.1274000280536711
20,2304,0.9358000243082643
20,2500,0.8641999447718263
20,2704,0.971200002823025
20,2916,1.0713999508880079
20,3136,1.052199979312718
20,3364,1.574800000526011
20,3600,1.7324999789707363
20,3844,1.300899952184409
20,4096,1.3493000296875834
20,4356,1.489299989771098
20,4624,1.53489998774603
20,4900,1.645200012717396
20,5184,1.9354000105522573
20,5476,1.8985000206157565
20,5776,1.8726999987848103
20,6084,1.9619999802671373
20,6400,2.0939999958500266
20,6724,2.2075999877415597
20,7056,2.555799961555749
20,7396,2.432500012218952
20,7744,2.537699998356402
20,8100,2.643599989823997
20,8464,2.852400008123368
20,8836,2.843800000846386
20,9216,2.9638000414706767
20,9604,3.1037000007927418
20,10000,3.2269000075757504
20,10404,3.30989999929443
20,10816,3.4551999997347593
20,11236,4.536400025244802
20,11664,4.372900002636015
20,12100,3.8458999479189515
20,12544,5.694599996786565
20,12996,4.294200043659657
20,13456,4.6993999858386815
20,13924,4.519100009929389
20,14400,4.518500005360693
20,14884,5.169900017790496
20,15376,4.888299969024956
20,15876,5.225199973210692
20,16384,5.119799985550344
20,16900,5.4796000476926565
20,17424,5.509099981281906
20,17956,5.592899979092181
20,18496,5.8373999781906605
20,19044,6.039699946995825
20,19600,6.1645000241696835
20,20164,6.404499989002943
20,20736,6.429000000935048
20,21316,6.735500006470829
20,21904,6.738900032360107
20,22500,6.893099984154105
20,23104,7.491500000469387
20,23716,7.502700027544051
20,24336,7.673899992369115
20,24964,8.356500009540468
20,25600,8.284499985165894
20,26244,8.276000036858022
20,26896,8.798900002148002
20,27556,8.876800013240427
20,28224,8.650400035548955
20,28900,8.857400040142238
20,29584,9.196500002872199
20,30276,9.446199983358383
20,30976,9.421300026588142
20,31684,9.694000007584691
20,32400,10.035400046035647
20,33124,10.12509997235611
20,33856,10.420900012832135
20,34596,10.732900002039969
20,35344,11.029599991161376
20,36100,11.194300022907555
20,36864,11.750000005122274
20,37636,11.907299980521202
20,38416,12.224000005517155
20,39204,12.452399998437613
20,40000,16.223200014792383
20,40804,15.139799972530454
20,41616,13.821300002746284
20,42436,13.876899960450828
20,43264,13.701199961360544
20,44100,14.185799984261394
20,44944,14.492899994365871
20,45796,14.770800014957786
20,46656,15.002000029198825
20,47524,15.268300019670278
20,48400,15.926799969747663
20,49284,17.621300008613616
20,50176,16.611200000625104
20,51076,17.114399990532547
20,51984,17.922100028954446
20,52900,18.18359998287633
20,53824,18.29799998085946
20,54756,17.94390002032742
20,55696,18.052600033115596
20,56644,18.490699992980808
20,57600,18.672300036996603
20,58564,19.59989999886602
20,59536,20.76640003360808
20,60516,20.750399969983846
20,61504,20.586099999491125
20,62500,29.547200014349073
20,63504,23.63599999807775
20,64516,22.088699974119663
20,65536,23.09100003913045
20,66564,22.12619996862486
20,67600,23.624800029210746
20,68644,23.254200001247227
20,69696,23.234100022818893
20,70756,24.00060003856197
20,71824,24.435800034552813
20,72900,24.56359995994717
20,73984,25.755700014997274
20,75076,25.441700010560453
20,76176,26.67459996882826
20,77284,27.23189996322617
20,78400,28.670999978203326
20,79524,36.70060000149533
20,80656,29.38309998717159
20,81796,28.202000015880913
20,82944,32.8513000276871
20,84100,30.30789998592809
20,85264,31.843800039496273
20,86436,30.477299995254725
20,87616,31.388900009915233
20,88804,32.73059998173267
20,90000,33.313099993392825
20,91204,33.11269998084754
20,92416,42.36090002814308
20,93636,35.88300000410527
20,94864,34.94560002582148
20,96100,36.47130000172183
20,97344,36.09740000683814
20,98596,40.27789999963716
20,99856,39.48459995444864
20,101124,38.15170004963875
20,102400,49.410699983127415
20,103684,43.72630000580102
20,104976,40.51459999755025
20,106276,43.35960000753403
20,107584,42.26899996865541
20,108900,41.69800004456192
20,110224,52.77350003598258
20,111556,44.30429998319596
20,112896,43.82249998161569
20,114244,45.52400001557544
20,115600,44.86149997683242
20,116964,53.20989998290315
20,118336,47.75979998521507
20,119716,47.36850003246218
20,121104,48.504200007300824
20,122500,56.66240002028644
20,123904,48.97909995634109
20,125316,49.658100004307926
20,126736,61.7486999835819
20,128164,52.67939995974302
20,129600,52.03700001584366
20,131044,62.154000042937696
20,132496,55.324100016150624
20,133956,64.63159999111667
20,135424,54.4577999971807
20,136900,62.032699992414564
20,138384,55.82720000529662
20,139876,63.76680004177615
20,141376,59.14149997988716
20,142884,67.34100001631305
20,144400,59.53129997942597
20,145924,68.99330002488568
20,147456,60.28159998822957
20,148996,68.07939999271184
20,150544,62.90710001485422
20,152100,68.23009997606277
20,153664,63.32040001871064
20,155236,72.85830000182614
20,156816,64.45359997451305
20,158404,72.79880001442507
20,160000,70.55080001009628
20,161604,74.78799996897578
20,163216,68.35849996423349
20,164836,74.25800000783056
20,166464,70.81210002070293
20,168100,77.90719997137785
20,169744,71.12519996007904
20,171396,79.41390003543347
20,173056,79.14940000046045
20,174724,81.03629999095574
20,176400,80.92109998688102
20,178084,81.50630001910031
20,179776,80.67370002390817
20,181476,82.00379996560514
20,183184,82.87499996367842
20,184900,84.91580002009869
20,186624,85.55690001230687
20,188356,85.65669995732605
20,190096,86.76889998605475
20,191844,88.45370000926778
20,193600,87.37980003934354
20,195364,90.99070000229403
20,197136,90.85490001598373
20,198916,91.2123000016436
20,200704,92.05989999463782
20,202500,94.07559997634962
20,204304,92.71399996941909
20,206116,92.55639999173582
20,207936,96.02639998774976
20,209764,98.01469999365509
20,211600,95.79619998112321
20,213444,98.20720000425354
20,215296,99.88009999506176
20,217156,97.45090000797063
20,219024,102.4996999767609
20,220900,101.0653999983333
20,222784,101.8789000227116
20,224676,103.09319995576516
20,226576,104.93759997189045
20,228484,103.02099998807535
20,230400,104.63760001584888
20,232324,106.17070004809648
20,234256,107.8861000132747
20,236196,108.80480002379045
20,238144,107.17480001039803
20,240100,112.81840002629906
20,242064,110.6108000385575
20,244036,112.11220000404865
20,246016,113.69480000576004
20,248004,111.95940000470728
20,250000,115.16909999772906
20,252004,116.89920001663268
20,254016,113.71230002259836
20,256036,114.3523000064306
20,258064,121.08519999310374
20,260100,117.45700001483783
20,262144,129.2255999869667
20,264196,121.57370004570112
20,266256,124.0185999777168
20,268324,123.25349997263402
20,270400,125.30399998649955
20,272484,129.68289997661486
20,274576,127.03440000768751
20,276676,126.75410002702847
20,278784,123.86559997685254
20,280900,127.93209997471422
20,283024,132.02020002063364
20,285156,129.8881999682635
20,287296,130.12330001220107
20,289444,133.87390004936606
20,291600,132.31289997929707
20,293764,134.18729999102652
20,295936,154.80389998992905
20,298116,140.7029999536462
20,300304,140.75940003385767
20,302500,142.6707999780774
20,304704,147.3513999953866
20,306916,148.276399995666
20,309136,143.61929998267442
20,311364,143.65079998970032
20,313600,144.07330000540242
20,315844,148.15760002238676
20,318096,148.64530001068488
20,320356,146.42629999434575
20,322624,152.40459999768063
20,324900,158.24580000480637
20,327184,149.7780000208877
20,329476,152.79890003148466
20,331776,159.24469998572022
20,334084,158.53760001482442
20,336400,157.77260001050308
20,338724,155.66910000052303
20,341056,159.92010000627488
20,343396,159.73499999381602
20,345744,160.95600003609434
20,348100,163.32679998595268
20,350464,161.95259999949485
20,352836,162.97799994936213
20,355216,166.92789999069646
20,357604,164.125100011006
20,360000,164.9879000033252
30,100,1.041000010445714
30,144,0.1023999648168683
30,196,0.13210001634433866
30,256,0.15819998225197196
30,324,0.18060003640130162
30,400,0.2229000092484057
30,484,0.2578999847173691
30,576,0.3330999752506614
30,676,0.40360004641115665
30,784,0.3801999846473336
30,900,0.44700002763420343
30,1024,0.5497999954968691
30,1156,0.5292000132612884
30,1296,0.5860999808646739
30,1444,0.6502000032924116
30,1600,0.7255999953486025
30,1764,0.770999991800636
30,1936,0.7956999470479786
30,2116,0.9104000055231154
30,2304,1.088599965441972
30,2500,1.1547000030986965
30,2704,1.0975999757647514
30,2916,1.5745999990031123
30,3136,2.1191000123508275
30,3364,1.4338000328280032
30,3600,1.7405999824404716
30,3844,1.5666000545024872
30,4096,1.6955999890342355
30,4356,1.705799950286746
30,4624,2.5077000027522445
30,4900,1.9585000118240714
30,5184,2.070699993055314
30,5476,2.2499000187963247
30,5776,2.216199995018542
30,6084,2.869300020392984
30,6400,2.605199988465756
30,6724,2.671100024599582
30,7056,2.783399948384613
30,7396,2.986100036650896
30,7744,3.054599976167083
30,8100,3.2202000147663057
30,8464,3.2997000380419195
30,8836,3.702100017108023
30,9216,3.624599950853735
30,9604,3.759099985472858
30,10000,3.909300023224205
30,10404,4.35890001244843
30,10816,4.894499958027154
30,11236,5.201100022532046
30,11664,4.663100000470877
30,12100,5.149200034793466
30,12544,4.901000007521361
30,12996,4.971899965312332
30,13456,5.259400000795722
30,13924,5.379199981689453
30,14400,5.720799963455647
30,14884,5.728700023610145
30,15376,6.09540002187714
30,15876,6.061799998860806
30,16384,6.55620003817603
30,16900,6.609700038097799
30,17424,6.758000003173947
30,17956,6.780800002161413
30,18496,7.099600043147802
30,19044,7.333499961532652
30,19600,7.390699989628047
